Name,Domain,Secteur,BreachDate,Year,PwnCount,IsVerified,IsSensitive
000webhost,000webhost.com,Non classé,2015-03-01,2015,14936670,True,False
123RF,123rf.com,Non classé,2020-03-22,2020,8661578,True,False
126,126.com,Non classé,2012-01-01,2012,6414191,False,False
17Media,17app.co,Non classé,2016-04-19,2016,4009640,True,False
17173,17173.com,Non classé,2011-12-28,2011,7485802,False,False
1win,1win.com,Non classé,2024-11-02,2024,96166543,True,False
2844Breaches,,Compilation / Non attribuable,2018-02-19,2018,80115532,False,False
2fast4u,2fast4u.be,Non classé,2017-12-20,2017,17706,True,False
500px,500px.com,Non classé,2018-07-05,2018,14867999,True,False
7-Eleven,7-eleven.com,Non classé,2026-04-08,2026,185256,True,False
7k7k,7k7k.com,Non classé,2011-01-01,2011,9121434,False,False
8fit,8fit.com,Non classé,2018-07-01,2018,15025407,True,False
8tracks,8tracks.com,Non classé,2017-06-27,2017,17979961,True,False
9Lives,9lives.be,Non classé,2014-10-01,2014,109515,True,False
Abandonia,abandonia.com,Non classé,2015-11-01,2015,776125,True,False
Abandonia2022,abandonia.com,Non classé,2022-11-15,2022,919790,True,False
Abrigo,abrigo.com,Non classé,2026-04-14,2026,711099,True,False
AbuseWithUs,abusewith.us,Non classé,2016-07-01,2016,1372550,True,False
AcneOrg,acne.org,Non classé,2014-11-25,2014,432943,True,False
Activision,activision.com,Non classé,2022-12-04,2022,16006,True,False
ActMobile,actmobile.com,Non classé,2021-10-08,2021,1583193,False,False
Acuity,,Compilation / Non attribuable,2020-06-18,2020,14055729,True,False
Adapt,adapt.io,Non classé,2018-11-05,2018,9363740,True,False
ADDA,adda.io,Non classé,2025-03-24,2025,1829314,True,False
ADDI,addi.com,Non classé,2026-03-25,2026,34532941,True,False
Adecco,adecco.com,Non classé,2021-01-03,2021,4284538,True,False
ABFRL,abfrl.com,Non classé,2021-12-01,2021,5470063,True,False
Adobe,adobe.com,Non classé,2013-10-04,2013,152445165,True,False
AdoptMeTradingValues,adoptmetradingvalues.com,Non classé,2022-07-01,2022,86136,True,False
Adpost,adpost.com,Non classé,2025-02-14,2025,3339512,True,False
ADT,adt.com,Non classé,2026-04-20,2026,5488888,True,False
AdultFriendFinder,adultfriendfinder.com,Non classé,2015-05-21,2015,3867997,True,True
AdultFriendFinder2016,adultfriendfinder.com,Non classé,2016-10-16,2016,169746810,True,True
AdultFanFiction,adult-fanfiction.org,Non classé,2018-05-30,2018,186082,True,True
AdvanceAutoParts,advanceautoparts.com,Non classé,2024-06-05,2024,79243727,True,False
AerServ,aerserv.com,Non classé,2018-04-01,2018,66308,True,False
AgusiQTorrents,agusiq-torrents.pl,Non classé,2019-09-24,2019,90478,True,False
AhaShare,ahashare.com,Non classé,2013-05-30,2013,180468,True,False
AIType,aitype.com,Non classé,2017-12-05,2017,20580060,True,False
Aimware,aimware.net,Non classé,2019-04-28,2019,305470,True,False
Aipai,aipai.com,Non classé,2016-09-27,2016,6496778,False,False
Ajarn,ajarn.com,Non classé,2018-12-13,2018,266399,True,False
AKP,akparti.org.tr,Non classé,2016-07-19,2016,917461,True,False
Alcon,alcon.com,Non classé,2026-08-01,2026,218395,True,False
AlienStealerLogs,,Compilation / Non attribuable,2025-02-15,2025,284132969,True,False
AllianzLife,allianzlife.com,Non classé,2025-07-16,2025,1115061,True,False
AlpineReplay,traceup.com,Non classé,2019-08-27,2019,898681,True,False
Altenen,altenens.is,Non classé,2022-06-24,2022,1267701,True,False
Aman,aman.com,Non classé,2026-04-20,2026,215563,True,False
AmartFurniture,amartfurniture.com.au,Non classé,2022-05-16,2022,108940,True,False
AmericanTower,americantower.com,Non classé,2026-06-12,2026,216601,True,False
Ameriprise,ameriprise.com,Non classé,2026-03-02,2026,502597,True,False
Amtrak,amtrak.com,Non classé,2026-04-03,2026,2147679,True,False
Ancestry,ancestry.com,Non classé,2015-11-07,2015,297806,True,False
AndroidForums,androidforums.com,Non classé,2011-10-30,2011,745355,True,False
AndroidLista,androidlista.com,Non classé,2021-07-28,2021,6640643,True,False
AnimalJam,animaljam.com,Non classé,2020-10-12,2020,7104998,True,False
AnimeGame,animegame.me,Non classé,2020-02-27,2020,1431378,True,False
Animeify,animeify.net,Non classé,2021-10-14,2021,808034,True,False
AnimeLeague,animeleague.net,Non classé,2024-07-04,2024,192134,True,False
AnimePlanet,anime-planet.com,Non classé,2016-01-01,2016,368507,True,False
Animoto,animoto.com,Non classé,2018-07-10,2018,22437749,True,False
AntiPublic,,Compilation / Non attribuable,2016-12-16,2016,457962538,False,False
ApexSMS,,Compilation / Non attribuable,2019-04-15,2019,23246481,True,False
APKTW,apk.tw,Non classé,2022-09-03,2022,2451197,True,False
APOIAse,apoia.se,Non classé,2025-12-16,2025,450764,True,False
Apollo,apollo.io,Non classé,2018-07-23,2018,125929660,True,False
Appartoo,appartoo.com,Non classé,2017-03-25,2017,49681,True,False
Appen,appen.com,Non classé,2020-06-22,2020,5888405,True,False
