Name,DataClass
000webhost,Email addresses
000webhost,IP addresses
000webhost,Names
000webhost,Passwords
123RF,Email addresses
123RF,IP addresses
123RF,Names
123RF,Passwords
123RF,Phone numbers
123RF,Physical addresses
123RF,Usernames
126,Email addresses
126,Passwords
17Media,Device information
17Media,Email addresses
17Media,IP addresses
17Media,Passwords
17Media,Usernames
17173,Email addresses
17173,Passwords
17173,Usernames
1win,Dates of birth
1win,Email addresses
1win,Geographic locations
1win,IP addresses
1win,Passwords
1win,Phone numbers
2844Breaches,Email addresses
2844Breaches,Passwords
2fast4u,Email addresses
2fast4u,Passwords
2fast4u,Usernames
500px,Dates of birth
500px,Email addresses
500px,Genders
500px,Geographic locations
500px,Names
500px,Passwords
500px,Usernames
7-Eleven,Dates of birth
7-Eleven,Email addresses
7-Eleven,Names
7-Eleven,Phone numbers
7-Eleven,Physical addresses
7k7k,Email addresses
7k7k,Passwords
7k7k,Usernames
8fit,Email addresses
8fit,Genders
8fit,Geographic locations
8fit,IP addresses
8fit,Names
8fit,Passwords
8tracks,Email addresses
8tracks,Passwords
9Lives,Email addresses
9Lives,Passwords
9Lives,Usernames
Abandonia,Email addresses
Abandonia,IP addresses
Abandonia,Passwords
Abandonia,Usernames
Abandonia2022,Email addresses
Abandonia2022,IP addresses
Abandonia2022,Passwords
Abandonia2022,Usernames
Abrigo,Email addresses
Abrigo,Employers
Abrigo,Job titles
Abrigo,Names
Abrigo,Phone numbers
Abrigo,Physical addresses
AbuseWithUs,Email addresses
AbuseWithUs,IP addresses
AbuseWithUs,Passwords
AbuseWithUs,Usernames
AcneOrg,Dates of birth
AcneOrg,Email addresses
AcneOrg,IP addresses
AcneOrg,Passwords
AcneOrg,Usernames
Activision,Email addresses
Activision,Geographic locations
Activision,Job titles
Activision,Names
Activision,Phone numbers
ActMobile,Email addresses
ActMobile,IP addresses
Acuity,Dates of birth
Acuity,Email addresses
Acuity,Genders
Acuity,IP addresses
Acuity,Names
Acuity,Phone numbers
Acuity,Physical addresses
Acuity,Salutations
Adapt,Email addresses
Adapt,Employers
Adapt,Job titles
Adapt,Names
Adapt,Phone numbers
Adapt,Physical addresses
Adapt,Social media profiles
ADDA,Email addresses
ADDA,Names
ADDA,Passwords
ADDA,Phone numbers
ADDI,Age groups
ADDI,Credit scores
ADDI,Device information
ADDI,Email addresses
ADDI,Government issued IDs
ADDI,Income levels
ADDI,IP addresses
ADDI,Latitude and longitude pairs
ADDI,Names
ADDI,Phone numbers
ADDI,Physical addresses
ADDI,Purchases
ADDI,Socioeconomic levels
Adecco,Email addresses
Adecco,Genders
Adecco,Geographic locations
Adecco,Marital statuses
Adecco,Names
Adecco,Passwords
Adecco,Phone numbers
ABFRL,Email addresses
ABFRL,Genders
ABFRL,Income levels
ABFRL,Job titles
ABFRL,Marital statuses
ABFRL,Names
ABFRL,Passwords
ABFRL,Phone numbers
ABFRL,Physical addresses
ABFRL,Purchases
ABFRL,Religions
ABFRL,Salutations
Adobe,Email addresses
Adobe,Password hints
Adobe,Passwords
Adobe,Usernames
AdoptMeTradingValues,Email addresses
AdoptMeTradingValues,IP addresses
AdoptMeTradingValues,Passwords
AdoptMeTradingValues,Usernames
Adpost,Email addresses
Adpost,Names
Adpost,Usernames
ADT,Dates of birth
ADT,Email addresses
ADT,Names
ADT,Partial government issued IDs
ADT,Phone numbers
ADT,Physical addresses
AdultFriendFinder,Dates of birth
AdultFriendFinder,Email addresses
AdultFriendFinder,Genders
AdultFriendFinder,Geographic locations
AdultFriendFinder,IP addresses
AdultFriendFinder,Races
AdultFriendFinder,Relationship statuses
AdultFriendFinder,Sexual orientations
AdultFriendFinder,Spoken languages
AdultFriendFinder,Usernames
AdultFriendFinder2016,Email addresses
AdultFriendFinder2016,Passwords
AdultFriendFinder2016,Spoken languages
AdultFriendFinder2016,Usernames
AdultFanFiction,Dates of birth
AdultFanFiction,Email addresses
AdultFanFiction,Names
AdultFanFiction,Passwords
AdvanceAutoParts,Email addresses
AdvanceAutoParts,Names
AdvanceAutoParts,Phone numbers
AdvanceAutoParts,Physical addresses
AerServ,Email addresses
AerServ,Employers
AerServ,Job titles
AerServ,Names
AerServ,Passwords
AerServ,Phone numbers
AerServ,Physical addresses
AgusiQTorrents,Email addresses
AgusiQTorrents,IP addresses
AgusiQTorrents,Passwords
AgusiQTorrents,Usernames
AhaShare,Email addresses
AhaShare,Genders
AhaShare,Geographic locations
AhaShare,IP addresses
AhaShare,Partial dates of birth
AhaShare,Passwords
AhaShare,Usernames
AhaShare,Website activity
AIType,Address book contacts
AIType,Apps installed on devices
AIType,Cellular network names
AIType,Dates of birth
AIType,Device information
AIType,Email addresses
AIType,Genders
AIType,Geographic locations
AIType,IMEI numbers
AIType,IMSI numbers
AIType,IP addresses
AIType,Names
AIType,Phone numbers
AIType,Profile photos
AIType,Social media profiles
Aimware,Email addresses
Aimware,IP addresses
Aimware,Passwords
Aimware,Private messages
Aimware,Usernames
Aimware,Website activity
Aipai,Email addresses
Aipai,Passwords
Ajarn,Dates of birth
Ajarn,Education levels
Ajarn,Email addresses
Ajarn,Genders
Ajarn,Geographic locations
Ajarn,Job applications
Ajarn,Marital statuses
Ajarn,Names
Ajarn,Nationalities
Ajarn,Passwords
Ajarn,Phone numbers
Ajarn,Profile photos
AKP,Email addresses
AKP,Email messages
Alcon,Email addresses
Alcon,Names
Alcon,Phone numbers
Alcon,Physical addresses
AlienStealerLogs,Email addresses
AlienStealerLogs,Passwords
AllianzLife,Dates of birth
AllianzLife,Email addresses
AllianzLife,Genders
AllianzLife,Names
AllianzLife,Phone numbers
AllianzLife,Physical addresses
AlpineReplay,Dates of birth
AlpineReplay,Email addresses
AlpineReplay,Genders
AlpineReplay,Names
AlpineReplay,Passwords
AlpineReplay,Physical attributes
AlpineReplay,Usernames
Altenen,Cryptocurrency wallet addresses
Altenen,Email addresses
Altenen,Passwords
Altenen,Usernames
Aman,Dates of birth
Aman,Email addresses
Aman,Genders
Aman,Language preferences
Aman,Names
Aman,Nationalities
Aman,Phone numbers
Aman,Physical addresses
Aman,Spouses names
Aman,VIP statuses
AmartFurniture,Email addresses
AmartFurniture,Names
AmartFurniture,Passwords
AmartFurniture,Phone numbers
AmartFurniture,Physical addresses
AmericanTower,Email addresses
AmericanTower,Job titles
AmericanTower,Names
AmericanTower,Phone numbers
AmericanTower,Physical addresses
Ameriprise,Email addresses
Ameriprise,Employers
Ameriprise,Financial transactions
Ameriprise,Job titles
Ameriprise,Names
Ameriprise,Phone numbers
Ameriprise,Physical addresses
Amtrak,Email addresses
Amtrak,Names
Amtrak,Physical addresses
Amtrak,Support tickets
Ancestry,Email addresses
Ancestry,Passwords
AndroidForums,Dates of birth
AndroidForums,Email addresses
AndroidForums,Homepage URLs
AndroidForums,Instant messenger identities
AndroidForums,IP addresses
AndroidForums,Passwords
AndroidLista,Email addresses
AndroidLista,Names
AndroidLista,Passwords
AndroidLista,Usernames
AnimalJam,Dates of birth
AnimalJam,Email addresses
AnimalJam,Genders
AnimalJam,IP addresses
AnimalJam,Names
AnimalJam,Passwords
AnimalJam,Physical addresses
AnimalJam,Usernames
AnimeGame,Email addresses
AnimeGame,Passwords
AnimeGame,Usernames
Animeify,Email addresses
Animeify,Genders
Animeify,Names
Animeify,Passwords
Animeify,Usernames
AnimeLeague,Dates of birth
AnimeLeague,Email addresses
AnimeLeague,IP addresses
AnimeLeague,Passwords
AnimeLeague,Phone numbers
AnimeLeague,Private messages
AnimeLeague,Purchases
AnimeLeague,Usernames
AnimePlanet,Dates of birth
AnimePlanet,Email addresses
AnimePlanet,IP addresses
AnimePlanet,Passwords
AnimePlanet,Usernames
Animoto,Dates of birth
Animoto,Email addresses
Animoto,Geographic locations
Animoto,Names
Animoto,Passwords
AntiPublic,Email addresses
AntiPublic,Passwords
ApexSMS,Email addresses
ApexSMS,Genders
ApexSMS,Geographic locations
ApexSMS,IP addresses
ApexSMS,Names
ApexSMS,Phone numbers
ApexSMS,Telecommunications carrier
APKTW,Email addresses
APKTW,IP addresses
APKTW,Passwords
APKTW,Usernames
APOIAse,Email addresses
APOIAse,Names
APOIAse,Physical addresses
Apollo,Email addresses
Apollo,Employers
Apollo,Geographic locations
Apollo,Job titles
Apollo,Names
Apollo,Phone numbers
Apollo,Salutations
Apollo,Social media profiles
Appartoo,Ages
Appartoo,Auth tokens
Appartoo,Email addresses
Appartoo,Employment statuses
Appartoo,Genders
Appartoo,IP addresses
Appartoo,Marital statuses
Appartoo,Names
Appartoo,Passwords
Appartoo,Physical addresses
Appartoo,Private messages
Appartoo,Social media profiles
Appen,Email addresses
Appen,Employers
Appen,IP addresses
Appen,Names
Appen,Passwords
Appen,Phone numbers
Aptoide,Browser user agent details
Aptoide,Email addresses
Aptoide,IP addresses
Aptoide,Names
Aptoide,Passwords
ArmorGames,Bios
ArmorGames,Dates of birth
ArmorGames,Email addresses
ArmorGames,Genders
ArmorGames,Geographic locations
ArmorGames,IP addresses
ArmorGames,Passwords
ArmorGames,Usernames
ArmyForceOnline,Avatars
ArmyForceOnline,Email addresses
ArmyForceOnline,Geographic locations
ArmyForceOnline,IP addresses
ArmyForceOnline,Names
ArmyForceOnline,Passwords
ArmyForceOnline,Usernames
ArmyForceOnline,Website activity
ArtistsNClients,Email addresses
ArtistsNClients,IP addresses
ArtistsNClients,Passwords
ArtistsNClients,Usernames
Artsy,Email addresses
Artsy,IP addresses
Artsy,Names
Artsy,Passwords
Artvalue,Email addresses
Artvalue,Names
Artvalue,Passwords
Artvalue,Salutations
Artvalue,Usernames
AshleyMadison,Dates of birth
AshleyMadison,Email addresses
AshleyMadison,Ethnicities
AshleyMadison,Genders
AshleyMadison,Names
AshleyMadison,Passwords
AshleyMadison,Payment histories
AshleyMadison,Phone numbers
AshleyMadison,Physical addresses
AshleyMadison,Security questions and answers
AshleyMadison,Sexual orientations
AshleyMadison,Usernames
AshleyMadison,Website activity
ANPS,Dates of birth
ANPS,Email addresses
ANPS,Names
ANPS,Places of birth
ANPS,Salutations
AstroPID,Email addresses
AstroPID,Instant messenger identities
AstroPID,IP addresses
AstroPID,Names
AstroPID,Passwords
AstroPID,Private messages
AstroPID,Usernames
AstroPID,Website activity
AllegedATT,Dates of birth
AllegedATT,Email addresses
AllegedATT,Government issued IDs
AllegedATT,Names
AllegedATT,Phone numbers
AllegedATT,Physical addresses
Aternos,Email addresses
Aternos,IP addresses
Aternos,Passwords
Aternos,Usernames
Aternos,Website activity
AtlasMenu,Email addresses
AtlasMenu,IP addresses
AtlasMenu,Passwords
AtlasMenu,Support tickets
AtlasMenu,Usernames
AtlasQuantum,Account balances
AtlasQuantum,Email addresses
AtlasQuantum,Names
AtlasQuantum,Phone numbers
Atmeltomo,Email addresses
Atmeltomo,IP addresses
Atmeltomo,Passwords
Atmeltomo,Usernames
Audi,Dates of birth
Audi,Driver's licenses
Audi,Email addresses
Audi,Names
Audi,Phone numbers
Audi,Physical addresses
Audi,Social security numbers
Audi,Vehicle details
Aura,Customer service records
Aura,Email addresses
Aura,IP addresses
Aura,Names
Aura,Phone numbers
Aura,Physical addresses
Autocentrum,Email addresses
Autocentrum,Passwords
AUTOSUR,Email addresses
AUTOSUR,Names
AUTOSUR,Phone numbers
AUTOSUR,Physical addresses
AUTOSUR,Vehicle details
AUTOSUR,Vehicle identification numbers (VINs)
AUTOSUR,Vehicle registration plates
Autotrader,Email addresses
Autotrader,Phone numbers
Autotrader,Physical addresses
Autotrader,Vehicle details
Autotrader,Vehicle identification numbers (VINs)
Avast,Email addresses
Avast,Passwords
Avast,Usernames
Avito,Email addresses
Avito,Geographic locations
Avito,IP addresses
Avito,Names
Avito,Phone numbers
Avvo,Email addresses
Avvo,Passwords
B2BUSABusinesses,Email addresses
B2BUSABusinesses,Employers
B2BUSABusinesses,Job titles
B2BUSABusinesses,Names
B2BUSABusinesses,Phone numbers
B2BUSABusinesses,Physical addresses
BabyNames,Email addresses
BabyNames,Passwords
Badoo,Dates of birth
Badoo,Email addresses
Badoo,Genders
Badoo,Names
Badoo,Passwords
Badoo,Usernames
BakerDistributing,Email addresses
BakerDistributing,Names
BakerDistributing,Phone numbers
BakerDistributing,Physical addresses
BakerDistributing,Support tickets
BannerBit,Email addresses
BannerBit,Passwords
Banorte,Account balances
Banorte,Email addresses
Banorte,Genders
Banorte,Government issued IDs
Banorte,Names
Banorte,Phone numbers
Banorte,Physical addresses
BattlefieldHeroes,Passwords
BattlefieldHeroes,Usernames
Battlefy,Email addresses
Battlefy,Passwords
Battlefy,Usernames
Baydoner,Dates of birth
Baydoner,Email addresses
Baydoner,Genders
Baydoner,Geographic locations
Baydoner,Government issued IDs
Baydoner,Names
Baydoner,Passwords
Baydoner,Phone numbers
Baydoner,Purchases
BCDTravel,Email addresses
BCDTravel,Employers
BCDTravel,Job titles
BCDTravel,Names
BCDTravel,Phone numbers
BCDTravel,Physical addresses
BCDTravel,Support tickets
BeautifulPeople,Beauty ratings
BeautifulPeople,Car ownership statuses
BeautifulPeople,Dates of birth
BeautifulPeople,Drinking habits
BeautifulPeople,Education levels
BeautifulPeople,Email addresses
BeautifulPeople,Genders
BeautifulPeople,Geographic locations
BeautifulPeople,Home ownership statuses
BeautifulPeople,Income levels
BeautifulPeople,IP addresses
BeautifulPeople,Job titles
BeautifulPeople,Names
BeautifulPeople,Passwords
BeautifulPeople,Personal descriptions
BeautifulPeople,Personal interests
BeautifulPeople,Physical attributes
BeautifulPeople,Sexual orientations
BeautifulPeople,Smoking habits
BeautifulPeople,Website activity
Beckett,Email addresses
Beckett,Names
Beckett,Phone numbers
Beckett,Physical addresses
Beckett,Usernames
Bell,Credit cards
Bell,Genders
Bell,Passwords
Bell,Usernames
Bell2017,Email addresses
Bell2017,Geographic locations
Bell2017,IP addresses
Bell2017,Job titles
Bell2017,Names
Bell2017,Passwords
Bell2017,Phone numbers
Bell2017,Spoken languages
Bell2017,Survey results
Bell2017,Usernames
Benchmark,Email addresses
Benchmark,IP addresses
Benchmark,Passwords
Benchmark,Usernames
Berkadia,Email addresses
Berkadia,Employers
Berkadia,Names
Berkadia,Phone numbers
Berkadia,Physical addresses
Bestialitysextaboo,Dates of birth
Bestialitysextaboo,Email addresses
Bestialitysextaboo,Genders
Bestialitysextaboo,Geographic locations
Bestialitysextaboo,IP addresses
Bestialitysextaboo,Passwords
Bestialitysextaboo,Private messages
Bestialitysextaboo,Usernames
Betterment,Dates of birth
Betterment,Device information
Betterment,Email addresses
Betterment,Employers
Betterment,Geographic locations
Betterment,Job titles
Betterment,Names
Betterment,Phone numbers
Betterment,Physical addresses
Bhinneka,Dates of birth
Bhinneka,Email addresses
Bhinneka,Genders
Bhinneka,Names
Bhinneka,Passwords
Bhinneka,Phone numbers
Bhinneka,Physical addresses
bigbasket,Dates of birth
bigbasket,Email addresses
bigbasket,IP addresses
bigbasket,Names
bigbasket,Passwords
bigbasket,Phone numbers
bigbasket,Physical addresses
BigMoneyJobs,Career levels
BigMoneyJobs,Education levels
BigMoneyJobs,Email addresses
BigMoneyJobs,Names
BigMoneyJobs,Passwords
BigMoneyJobs,Phone numbers
BigMoneyJobs,Physical addresses
BigMoneyJobs,Salutations
BigMoneyJobs,User website URLs
BigMoneyJobs,Website activity
BinWeevils,Ages
BinWeevils,Email addresses
BinWeevils,Genders
BinWeevils,IP addresses
BinWeevils,Passwords
BinWeevils,Usernames
BiohackMe,Email addresses
BiohackMe,Passwords
BiohackMe,Private messages
BiohackMe,Usernames
BTSec,Email addresses
BTSec,Passwords
BitcoinTalk,Dates of birth
BitcoinTalk,Email addresses
BitcoinTalk,Genders
BitcoinTalk,IP addresses
BitcoinTalk,Passwords
BitcoinTalk,Security questions and answers
BitcoinTalk,Usernames
BitcoinTalk,Website activity
Bitly,Email addresses
Bitly,Passwords
Bitly,Usernames
BitTorrent,Email addresses
BitTorrent,IP addresses
BitTorrent,Passwords
BitTorrent,Usernames
BitView,Bios
BitView,Comments
BitView,Dates of birth
BitView,Email addresses
BitView,Genders
BitView,Geographic locations
BitView,IP addresses
BitView,Passwords
BitView,Private messages
BitView,Usernames
BlackHatWorld,Dates of birth
BlackHatWorld,Email addresses
BlackHatWorld,Instant messenger identities
BlackHatWorld,IP addresses
BlackHatWorld,Passwords
BlackHatWorld,Usernames
BlackHatWorld,Website activity
BlackBerryFans,Email addresses
BlackBerryFans,IP addresses
BlackBerryFans,Passwords
BlackBerryFans,Usernames
BlackSpigotMC,Device information
BlackSpigotMC,Email addresses
BlackSpigotMC,Genders
BlackSpigotMC,Geographic locations
